componente,versione,licenza,origine
APScheduler,3.11.3,MIT License,python
Mako,1.4.1,MIT,python
MarkupSafe,3.0.3,BSD-3-Clause,python
PyYAML,6.0.3,MIT License,python
Pygments,2.21.0,BSD-2-Clause,python
SQLAlchemy,2.0.52,MIT,python
alembic,1.14.1,MIT License,python
annotated-types,0.8.0,MIT,python
anyio,4.14.2,MIT,python
argon2-cffi,23.1.0,MIT,python
argon2-cffi-bindings,26.1.0,MIT,python
asyncpg,0.30.0,Apache Software License,python
certifi,2026.7.22,Mozilla Public License 2.0 (MPL 2.0),python
cffi,2.1.1,MIT-0,python
click,8.5.0,BSD-3-Clause,python
dnspython,2.8.0,ISC License (ISCL),python
email-validator,2.3.0,The Unlicense (Unlicense),python
et_xmlfile,2.0.0,MIT License,python
fastapi,0.115.14,MIT License,python
greenlet,3.5.5,MIT AND PSF-2.0,python
h11,0.16.0,MIT License,python
httpcore,1.0.9,BSD-3-Clause,python
httptools,0.8.0,MIT,python
httpx,0.28.1,BSD License,python
idna,3.19,BSD-3-Clause,python
iniconfig,2.3.0,MIT,python
netstock-api,1.0.0,MIT,python
numpy,2.5.2,BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0,python
opencv-python-headless,4.14.0.94,Apache Software License,python
openpyxl,3.1.5,MIT License,python
packaging,26.3,Apache-2.0 OR BSD-2-Clause,python
pillow,11.3.0,MIT-CMU,python
pip,26.2.1,MIT,python
pip-licenses,5.5.5,MIT,python
pluggy,1.6.0,MIT License,python
prettytable,3.18.0,BSD-3-Clause,python
pycparser,3.0,BSD-3-Clause,python
pydantic,2.13.5,MIT,python
pydantic-settings,2.15.0,MIT,python
pydantic_core,2.46.5,MIT,python
pypdfium2,5.13.0,BSD-3-Clause,python
pytesseract,0.3.13,Apache Software License,python
pytest,9.1.1,MIT,python
pytest-asyncio,1.4.0,Apache-2.0,python
python-dotenv,1.2.3,BSD-3-Clause,python
python-multipart,0.0.20,Apache-2.0,python
segno,1.6.6,BSD License,python
starlette,0.46.2,BSD-3-Clause,python
structlog,24.4.0,MIT OR Apache-2.0,python
typing-inspection,0.4.4,MIT,python
typing_extensions,4.16.0,PSF-2.0,python
tzlocal,5.4.4,MIT,python
uvicorn,0.32.1,BSD License,python
uvloop,0.22.1,Apache Software License; MIT License,python
watchfiles,1.2.0,MIT License,python
wcwidth,0.8.3,MIT,python
websockets,17.1,BSD-3-Clause,python
zxing-cpp,2.3.0,Apache Software License,python
@adobe/css-tools,4.5.0,MIT,npm
@alloc/quick-lru,5.2.0,MIT,npm
@babel/code-frame,7.29.7,MIT,npm
@babel/helper-validator-identifier,7.29.7,MIT,npm
@babel/runtime,7.29.7,MIT,npm
@esbuild/linux-x64,0.24.2,MIT,npm
@eslint/config-array,0.19.2,Apache-2.0,npm
@eslint/core,0.10.0,Apache-2.0,npm
@eslint/eslintrc,3.3.6,MIT,npm
@eslint/js,9.19.0,MIT,npm
@eslint/object-schema,2.1.7,Apache-2.0,npm
@eslint/plugin-kit,0.2.8,Apache-2.0,npm
@eslint-community/eslint-utils,4.10.1,MIT,npm
@eslint-community/regexpp,4.12.2,MIT,npm
@hookform/resolvers,3.10.0,MIT,npm
@humanfs/core,0.19.2,Apache-2.0,npm
@humanfs/node,0.16.8,Apache-2.0,npm
@humanfs/types,0.15.0,Apache-2.0,npm
@humanwhocodes/module-importer,1.0.1,Apache-2.0,npm
@humanwhocodes/retry,0.4.3,Apache-2.0,npm
@jridgewell/gen-mapping,0.3.13,MIT,npm
@jridgewell/resolve-uri,3.1.2,MIT,npm
@jridgewell/sourcemap-codec,1.5.5,MIT,npm
@jridgewell/trace-mapping,0.3.31,MIT,npm
@napi-rs/lzma-linux-x64-gnu,1.5.1,MIT,npm
@nodelib/fs.scandir,2.1.5,MIT,npm
@nodelib/fs.stat,2.0.5,MIT,npm
@nodelib/fs.walk,1.2.8,MIT,npm
@redocly/ajv,8.11.2,MIT,npm
@redocly/config,0.22.0,MIT,npm
@redocly/openapi-core,1.34.19,MIT,npm
@reduxjs/toolkit,2.12.0,MIT,npm
@rollup/rollup-linux-x64-gnu,4.63.0,MIT,npm
@standard-schema/spec,1.1.0,MIT,npm
@standard-schema/utils,0.3.0,MIT,npm
@swc/core,1.16.1,Apache-2.0,npm
@swc/core-linux-x64-gnu,1.16.1,Apache-2.0 AND MIT,npm
@swc/counter,0.1.3,Apache-2.0,npm
@swc/types,0.1.28,Apache-2.0,npm
@tanstack/query-core,5.66.0,MIT,npm
@tanstack/react-query,5.66.0,MIT,npm
@tanstack/react-table,8.21.2,MIT,npm
@tanstack/table-core,8.21.2,MIT,npm
@testing-library/dom,10.4.1,MIT,npm
@testing-library/jest-dom,6.6.3,MIT,npm
@testing-library/react,16.2.0,MIT,npm
@testing-library/user-event,14.6.1,MIT,npm
@types/aria-query,5.0.4,MIT,npm
@types/cookie,0.6.0,MIT,npm
@types/d3-array,3.2.2,MIT,npm
@types/d3-color,3.1.3,MIT,npm
@types/d3-ease,3.0.2,MIT,npm
@types/d3-interpolate,3.0.4,MIT,npm
@types/d3-path,3.1.1,MIT,npm
@types/d3-scale,4.0.9,MIT,npm
@types/d3-shape,3.2.0,MIT,npm
@types/d3-time,3.0.4,MIT,npm
@types/d3-timer,3.0.2,MIT,npm
@types/estree,1.0.9,MIT,npm
@types/json-schema,7.0.15,MIT,npm
@types/prop-types,15.7.15,MIT,npm
@types/react,18.3.18,MIT,npm
@types/react-dom,18.3.5,MIT,npm
@types/use-sync-external-store,0.0.6,MIT,npm
@typescript-eslint/eslint-plugin,8.22.0,MIT,npm
@typescript-eslint/parser,8.22.0,MIT,npm
@typescript-eslint/scope-manager,8.22.0,MIT,npm
@typescript-eslint/type-utils,8.22.0,MIT,npm
@typescript-eslint/types,8.22.0,MIT,npm
@typescript-eslint/typescript-estree,8.22.0,MIT,npm
@typescript-eslint/utils,8.22.0,MIT,npm
@typescript-eslint/visitor-keys,8.22.0,MIT,npm
@vitejs/plugin-react-swc,3.7.2,MIT,npm
@vitest/expect,3.0.5,MIT,npm
@vitest/mocker,3.0.5,MIT,npm
@vitest/pretty-format,3.2.7,MIT,npm
@vitest/runner,3.0.5,MIT,npm
@vitest/snapshot,3.0.5,MIT,npm
@vitest/spy,3.0.5,MIT,npm
@vitest/utils,3.0.5,MIT,npm
@zxing/library,0.21.3,MIT,npm
@zxing/text-encoding,0.9.0,(Unlicense OR Apache-2.0),npm
acorn,8.18.0,MIT,npm
acorn-jsx,5.3.2,MIT,npm
agent-base,7.1.4,MIT,npm
ajv,6.15.0,MIT,npm
ansi-colors,4.1.3,MIT,npm
ansi-regex,5.0.1,MIT,npm
ansi-styles,4.3.0,MIT,npm
any-promise,1.3.0,MIT,npm
anymatch,3.1.3,ISC,npm
arg,5.0.2,MIT,npm
argparse,2.0.1,Python-2.0,npm
aria-query,5.3.0,Apache-2.0,npm
assertion-error,2.0.1,MIT,npm
balanced-match,1.0.2,MIT,npm
binary-extensions,2.3.0,MIT,npm
brace-expansion,1.1.18,MIT,npm
braces,3.0.3,MIT,npm
cac,6.7.14,MIT,npm
callsites,3.1.0,MIT,npm
camelcase-css,2.0.1,MIT,npm
chai,5.3.3,MIT,npm
chalk,4.1.2,MIT,npm
change-case,5.4.4,MIT,npm
check-error,2.1.3,MIT,npm
chokidar,3.6.0,MIT,npm
clsx,2.1.1,MIT,npm
color-convert,2.0.1,MIT,npm
color-name,1.1.4,MIT,npm
colorette,1.4.0,MIT,npm
commander,4.1.1,MIT,npm
concat-map,0.0.1,MIT,npm
cookie,1.1.1,MIT,npm
cross-spawn,7.0.6,MIT,npm
css.escape,1.5.1,MIT,npm
cssesc,3.0.0,MIT,npm
csstype,3.2.3,MIT,npm
d3-array,3.2.4,ISC,npm
d3-color,3.1.0,ISC,npm
d3-ease,3.0.1,BSD-3-Clause,npm
d3-format,3.1.2,ISC,npm
d3-interpolate,3.0.1,ISC,npm
d3-path,3.1.0,ISC,npm
d3-scale,4.0.2,ISC,npm
d3-shape,3.2.0,ISC,npm
d3-time,3.1.0,ISC,npm
d3-time-format,4.1.0,ISC,npm
d3-timer,3.0.1,ISC,npm
debug,4.4.3,MIT,npm
decimal.js-light,2.5.1,MIT,npm
deep-eql,5.0.2,MIT,npm
deep-is,0.1.4,MIT,npm
dequal,2.0.3,MIT,npm
didyoumean,1.2.2,Apache-2.0,npm
dlv,1.1.3,MIT,npm
dom-accessibility-api,0.5.16,MIT,npm
es-errors,1.3.0,MIT,npm
es-module-lexer,1.7.0,MIT,npm
es-toolkit,1.51.0,MIT,npm
esbuild,0.24.2,MIT,npm
escape-string-regexp,4.0.0,MIT,npm
eslint,9.19.0,MIT,npm
eslint-plugin-react-hooks,5.0.0,MIT,npm
eslint-plugin-react-refresh,0.4.18,MIT,npm
eslint-scope,8.4.0,BSD-2-Clause,npm
eslint-visitor-keys,4.2.1,Apache-2.0,npm
espree,10.4.0,BSD-2-Clause,npm
esquery,1.7.0,BSD-3-Clause,npm
esrecurse,4.3.0,BSD-2-Clause,npm
estraverse,5.3.0,BSD-2-Clause,npm
estree-walker,3.0.3,MIT,npm
esutils,2.0.3,BSD-2-Clause,npm
